título,descrição,link,descricao_limpa,sentimento
"Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo - Agência Gov","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5"" target=""_blank"">Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5,feito no piauí projeto de ia com base de dados em português é apresentado ao governonbspnbspagência gov,Neutro
"Rafael Fonteles lança nesta quarta (25) a SoberanIA, IA em português elaborada no Piauí - pi.gov.br","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOVmYzdDNMUE54SWQ1QzRtZG5abG1yRkd4UGtaVGxvZHN6S01NVG9fakwwTzYwNHhOU2dZZ2RjQkJER1h4OU0tZDU0TjNWSW83WUM2VVhGNkVYQS1MTGY0ckxiQTZNVlprQTdTT1I2ejlGclpLNGJndDdLbklVLXJuSFpSZ1A0VEJTeXctNnpJRXJDamdmUm82aVcxUFhLR3FCdFR1SGZMZFQ3cjQ?oc=5"" target=""_blank"">Rafael Fonteles lança nesta quarta (25) a SoberanIA, IA em português elaborada no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOVmYzdDNMUE54SWQ1QzRtZG5abG1yRkd4UGtaVGxvZHN6S01NVG9fakwwTzYwNHhOU2dZZ2RjQkJER1h4OU0tZDU0TjNWSW83WUM2VVhGNkVYQS1MTGY0ckxiQTZNVlprQTdTT1I2ejlGclpLNGJndDdLbklVLXJuSFpSZ1A0VEJTeXctNnpJRXJDamdmUm82aVcxUFhLR3FCdFR1SGZMZFQ3cjQ?oc=5,rafael fonteles lança nesta quarta  a soberania ia em português elaborada no piauínbspnbsppigovbr,Neutro
Parem as máquinas! A IA tem uma reportagem urgente - Revista Piauí,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5"" target=""_blank"">Parem as máquinas! A IA tem uma reportagem urgente</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Revista Piauí</font>",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5,parem as máquinas a ia tem uma reportagem urgentenbspnbsprevista piauí,Neutro
Governo do Piauí apresenta projeto de IA com base de dados em português - GOV.BR,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5"" target=""_blank"">Governo do Piauí apresenta projeto de IA com base de dados em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GOV.BR</font>",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5,governo do piauí apresenta projeto de ia com base de dados em portuguêsnbspnbspgovbr,Neutro
"Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português - Assembleia Legislativa do Piauí","<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5"" target=""_blank"">Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembleia Legislativa do Piauí</font>",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5,governo do piauí lança soberania primeira plataforma de inteligência artificial  em portuguêsnbspnbspassembleia legislativa do piauí,Neutro
Piauí adota Inovação e Inteligência Artificial como políticas de Estado - CartaCapital,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOclczOTJuOVk0anNoZkFkVWdGenJaS19YNERhMDA3bHVIR2RGU0xqQUh1MXBndEpCUUpKdll5OUwxR2F4TTYxWm5XREtwbEl4OWt0aHQ2NlV5SndPU2JIZ1RBY3Y4YkR1Z1ZLd0pkU2hMRFZCS3VqNEZocUdOTDFfVjkwbDVXRnE5Wnl1c0xPLTZ3QlFRbU55UnhIY1hHUUhuajJ4cW5nZFBUWWRlZXB2MktsR1NkMGM4blE?oc=5"" target=""_blank"">Piauí adota Inovação e Inteligência Artificial como políticas de Estado</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CartaCapital</font>",https://news.google.com/rss/articles/CBMiugFBVV95cUxOclczOTJuOVk0anNoZkFkVWdGenJaS19YNERhMDA3bHVIR2RGU0xqQUh1MXBndEpCUUpKdll5OUwxR2F4TTYxWm5XREtwbEl4OWt0aHQ2NlV5SndPU2JIZ1RBY3Y4YkR1Z1ZLd0pkU2hMRFZCS3VqNEZocUdOTDFfVjkwbDVXRnE5Wnl1c0xPLTZ3QlFRbU55UnhIY1hHUUhuajJ4cW5nZFBUWWRlZXB2MktsR1NkMGM4blE?oc=5,piauí adota inovação e inteligência artificial como políticas de estadonbspnbspcartacapital,Positivo
Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial - Cidadesnanet.com,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNV1lfQ05JMEVXeGdCaW9XQ2xvYXZCeEk1UHl3elhrQ0t3VENjazdXT3BzTTF2WkZaRjhXVmlyS2ZoSmpDLUxNeVo1RE53aHF0bjV4eW41T3FSQm9wRXRWQnE5WngxY0VYNjhJRmJzV1lWU2N3NjFvd3RKbV95UUJiaTY0bng5SFM3eV9mSVgtNFl0Y3UxNTY3YlJKSUt5eXJmVWNiZDd5bmZOM2hZXzljc2l0NNIBuwFBVV95cUxOanJ2TUVZbGpoYjNZdEhRdEtfMElmMVF4eHk2NERVemRWMmlROUk3WTE1MXZaOVQ2TkpFd09uLXBNd2d6MWpxMWxBMWhrazBIYlIyVkhmaVYwYXNvWnlCblFVX1E1cG8tTW5VYmJSRk1qR04wWWZzZml5cUJKTGo0dEJZRzZLZkNrNjg2eUJ3bzhUTWRBbDJTem9JYUZaZm1kdHVmVGVPVTFSdUw1akM4TVJpbFJDNU9VeEZz?oc=5"" target=""_blank"">Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cidadesnanet.com</font>",https://news.google.com/rss/articles/CBMiswFBVV95cUxNV1lfQ05JMEVXeGdCaW9XQ2xvYXZCeEk1UHl3elhrQ0t3VENjazdXT3BzTTF2WkZaRjhXVmlyS2ZoSmpDLUxNeVo1RE53aHF0bjV4eW41T3FSQm9wRXRWQnE5WngxY0VYNjhJRmJzV1lWU2N3NjFvd3RKbV95UUJiaTY0bng5SFM3eV9mSVgtNFl0Y3UxNTY3YlJKSUt5eXJmVWNiZDd5bmZOM2hZXzljc2l0NNIBuwFBVV95cUxOanJ2TUVZbGpoYjNZdEhRdEtfMElmMVF4eHk2NERVemRWMmlROUk3WTE1MXZaOVQ2TkpFd09uLXBNd2d6MWpxMWxBMWhrazBIYlIyVkhmaVYwYXNvWnlCblFVX1E1cG8tTW5VYmJSRk1qR04wWWZzZml5cUJKTGo0dEJZRzZLZkNrNjg2eUJ3bzhUTWRBbDJTem9JYUZaZm1kdHVmVGVPVTFSdUw1akM4TVJpbFJDNU9VeEZz?oc=5,piauí ocupa  posição em ranking nacional no uso de inteligência artificialnbspnbspcidadesnanetcom,Neutro
MPPI realiza palestra sobre Inteligência Artificial no Dia do Estagiário - Ministério Público do Estado do Piauí,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNN3ZKQ01taDNqcHdHYU1IMTNBM0lYcGRMY05laF9qcVBwQnE2QnpxM0s2ZzhCQ0JOYmV2dUFzVzNjMENwT2YyYmFrVmNlM1FLZGU2RHZiX2p5eHAwRjVFQVlXV0pBXzFRNUM0STBNSDRXdllvajJrSmp6NkNXQkFxakR0NG1CN0o2alFPbjZZdHVPZDI1UWdsN2VUaXJXV1dBVVNXMHFlSTdWWDg2UkJIQUpOYw?oc=5"" target=""_blank"">MPPI realiza palestra sobre Inteligência Artificial no Dia do Estagiário</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ministério Público do Estado do Piauí</font>",https://news.google.com/rss/articles/CBMiswFBVV95cUxNN3ZKQ01taDNqcHdHYU1IMTNBM0lYcGRMY05laF9qcVBwQnE2QnpxM0s2ZzhCQ0JOYmV2dUFzVzNjMENwT2YyYmFrVmNlM1FLZGU2RHZiX2p5eHAwRjVFQVlXV0pBXzFRNUM0STBNSDRXdllvajJrSmp6NkNXQkFxakR0NG1CN0o2alFPbjZZdHVPZDI1UWdsN2VUaXJXV1dBVVNXMHFlSTdWWDg2UkJIQUpOYw?oc=5,mppi realiza palestra sobre inteligência artificial no dia do estagiárionbspnbspministério público do estado do piauí,Neutro
Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí - G1,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5"" target=""_blank"">Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">G1</font>",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5,inscrições para  vagas em cursos superiores gratuitos de inteligência artificial estão abertas no piauínbspnbspg,Neutro
Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>",https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5,inteligência artificial ia na educação pública do piauínbspnbspfundação telefônica vivo,Neutro
Contatos SEDUC - SEDUC-PI,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbWg5WXhzQ2RRbkFzYjhHMndLSE5scHF6ZFFNYldncXFPR1NnRGZXYUhfWF81SWRuYWJaaEVjdmJKN1hOaGEwa1lYM1FTeXEtVTdOa1MxRGZlQThwSGtMVkNvUzFEX0hNTWpTdWFUaUdMTjRxYzZxNjAtUXAxR3N2eUxRQ2N1M3NEQUN3aEppWnJxX2ZWN1Fhc0JtcjEtanBSN1Etd3RlN2xKNGxaWWRoTk5tYjl5Mi1XbmFYT1d4UUx2UQ?oc=5"" target=""_blank"">Contatos SEDUC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SEDUC-PI</font>",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQbWg5WXhzQ2RRbkFzYjhHMndLSE5scHF6ZFFNYldncXFPR1NnRGZXYUhfWF81SWRuYWJaaEVjdmJKN1hOaGEwa1lYM1FTeXEtVTdOa1MxRGZlQThwSGtMVkNvUzFEX0hNTWpTdWFUaUdMTjRxYzZxNjAtUXAxR3N2eUxRQ2N1M3NEQUN3aEppWnJxX2ZWN1Fhc0JtcjEtanBSN1Etd3RlN2xKNGxaWWRoTk5tYjl5Mi1XbmFYT1d4UUx2UQ?oc=5,contatos seducnbspnbspseducpi,Neutro
Governador Rafael Fonteles autoriza cursos superiores em inteligência artificial na PIT – pi.gov - pi.gov.br,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOMTJOcnU3ZkowUGRtQTVJcnFwTXU2aWN6SnB2b3k3bEVYSkl3dnRiOXpQWFBibjFXVG5NVC1aTzl4ajhnT0NRUUZsSkR4Q1d3VF9IMC1ZR2tlYm9LWWloR2dsS3BqVTJMdmJKS0ZEQndJSGc5SXpiMm9mZVM0SW5XZVh6elRsZFBhbG83Tk1neWU1ZWEza2VLWWdhT0FPTURqbVJvNG1OaXRMZzJWdkNZ?oc=5"" target=""_blank"">Governador Rafael Fonteles autoriza cursos superiores em inteligência artificial na PIT – pi.gov</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",https://news.google.com/rss/articles/CBMirwFBVV95cUxOMTJOcnU3ZkowUGRtQTVJcnFwTXU2aWN6SnB2b3k3bEVYSkl3dnRiOXpQWFBibjFXVG5NVC1aTzl4ajhnT0NRUUZsSkR4Q1d3VF9IMC1ZR2tlYm9LWWloR2dsS3BqVTJMdmJKS0ZEQndJSGc5SXpiMm9mZVM0SW5XZVh6elRsZFBhbG83Tk1neWU1ZWEza2VLWWdhT0FPTURqbVJvNG1OaXRMZzJWdkNZ?oc=5,governador rafael fonteles autoriza cursos superiores em inteligência artificial na pit  pigovnbspnbsppigovbr,Neutro
MCTI e governo do Piauí firmam parceria para avançar em projetos de IA - Agência Gov,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5"" target=""_blank"">MCTI e governo do Piauí firmam parceria para avançar em projetos de IA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxOSERYZkxLV3JZcWdPWEpta1phVXJvbXBMYkg2ZW8tcmNsRlhpYUJ3cnhrX05sbk82Q0xoYzRDNXlWTWx1SWd5TWg5SGVSdjdIaXY4U3BHMWpxVDlUMHVSZWctZFc0Q3ZIeDRocE9sbzhKY01GQWlIY0J3NHhscTBqT2J0RDJwVV9tN1FGZnRVZF9qVWFrMzJ0UFZR?oc=5,mcti e governo do piauí firmam parceria para avançar em projetos de ianbspnbspagência gov,Neutro
MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação - Ministério Público do Estado do Piauí,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5"" target=""_blank"">MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ministério Público do Estado do Piauí</font>",https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5,mppi e secretaria estadual de inteligência artificial fortalecem parceria para inovaçãonbspnbspministério público do estado do piauí,Positivo
Piauí Instituto de Tecnologia (PIT) destina 25% das vagas exclusivamente para mulheres em cursos de IA - Assembleia Legislativa do Piauí,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNWVRBa2tjNmpRUXdkZzNWdFVab015U0plWV9rWE11UnVNM3c3M2hfcFc3QnlHTy1lMTJBWWZGU00tbGZoMGZiUXQ1V1RLMUlCdmt6bkxaQjNrT1l6bDhPcGF0ZFY3N0VaWFg5SDdzaXpxUDh4eGFXb3daMEROekNXLUlUR1pUa2dqQktQbDRJRWNnaVVxM1kxZjdrZ195dHp0N2RFQ2I3WmkwU3RwZWZQem9la09QVUhDNmRlaDB3bGZWZUFjZ3Mya1l1TExEc3duMWVRR3VBazJSSGxybTBTVWthS0E3WXJQX0pSYWZn?oc=5"" target=""_blank"">Piauí Instituto de Tecnologia (PIT) destina 25% das vagas exclusivamente para mulheres em cursos de IA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembleia Legislativa do Piauí</font>",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNWVRBa2tjNmpRUXdkZzNWdFVab015U0plWV9rWE11UnVNM3c3M2hfcFc3QnlHTy1lMTJBWWZGU00tbGZoMGZiUXQ1V1RLMUlCdmt6bkxaQjNrT1l6bDhPcGF0ZFY3N0VaWFg5SDdzaXpxUDh4eGFXb3daMEROekNXLUlUR1pUa2dqQktQbDRJRWNnaVVxM1kxZjdrZ195dHp0N2RFQ2I3WmkwU3RwZWZQem9la09QVUhDNmRlaDB3bGZWZUFjZ3Mya1l1TExEc3duMWVRR3VBazJSSGxybTBTVWthS0E3WXJQX0pSYWZn?oc=5,piauí instituto de tecnologia pit destina  das vagas exclusivamente para mulheres em cursos de ianbspnbspassembleia legislativa do piauí,Neutro
